Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
Unabomber attacks (1978–1995),media/220px-Theodore_Kaczynski.jpg,Source: https://en.wikipedia.org/wiki/Ted_Kaczynski#Initial_bombings,,"From 1978 to 1995, Harvard University graduate and former mathematics professor Theodore ""Ted"" Kaczynski – known by the codename ""UNABOM"" until his identification and arrest by the FBI – carried out a campaign of sending letterbombs to academics and various individuals particularly associated with modern technology. In 1996, his manifesto was published in The New York Times and The Washington Post,[44] under the threat of more attacks. The bomb campaign ended with his capture. States attacked&lt;ol&gt;
&lt;i&gt;Illinois&lt;/i&gt;
&lt;i&gt;Utah&lt;/i&gt;
&lt;i&gt;Tennessee&lt;/i&gt;
&lt;i&gt;California&lt;/i&gt;
&lt;i&gt;Washington&lt;/i&gt;
&lt;i&gt;Michigan/i&gt;
&lt;i&gt;Connecticut&lt;/i&gt;
&lt;i&gt;New Jersey&lt;/i&gt;
&lt;ol&gt;",7,,red,,38.298754,-101.115732,,,,
Attacks by the Jewish Defense League (1980–1985),media/Star_and_Fist_Logo.png,Source: https://en.wikipedia.org/wiki/Jewish_Defense_League#Terrorism,,"The Jewish Defense League (JDL) is a Jewish religious-political organization in the United States, whose stated goal is to ""protect Jews from antisemitism by whatever means necessary"". ccording to the FBI, the JDL has been involved in plotting and executing acts of terrorism within the United States.",10,,red,,42.358056,-71.063611,,,,
Oklahoma City bombing (1995),media/220px-Oklahomacitybombing-DF-ST-98-01356.webp,Source: https://en.wikipedia.org/wiki/Oklahoma_City_bombing,,"The Oklahoma City bombing was a truck bomb attack by Timothy McVeigh and Terry Nichols which killed 168 people on April 19, 1995 – the deadliest domestic-based terrorist attack in the history of the United States since the era of mass lynchings and race riots.",15,,red,,35.472778,-97.516944,,,,
Centennial Olympic Park bombing (1996),media/MYQ456U5CZ5KH4SLPCHO6EYEQ4.jpg,Source: https://en.wikipedia.org/wiki/Centennial_Olympic_Park_bombing,https://www.google.com/search?q=Centennial+Olympic+Park+bombing&sxsrf=ALeKk0167hIZ69QiM69Do7Yl0wzoagVW7Q:1607669749404&source=lnms&tbm=isch&sa=X&ved=2ahUKEwid6NDCrMXtAhWJ3eAKHfUcBc0Q_AUoAXoECBEQAw&biw=1366&bih=610#imgrc=AOHrsMynNdETJM,"The Centennial Olympic Park bombing was a terrorist bombing on July 27, 1996, in Atlanta, Georgia, during the 1996 Summer Olympics, the first of four committed by Eric Robert Rudolph, former explosives expert for the United States Army. Two people died, and 111 were injured.",16,,red,,33.76065,-84.392583,,,,
2000's Terrorism,,,,,,,,,,,,,,
Wisconsin Sikh temple shooting (2012),media/wisconsin.jpeg,Source: https://en.wikipedia.org/wiki/Wisconsin_Sikh_temple_shooting,,"On August 5, 2012, Wade Michael Page fatally shot six people (including himself) and wounded four others in a mass shooting at a Sikh temple in Oak Creek, Wisconsin. Page was an American white supremacist and a United States Army veteran from Cudahy, Wisconsin, who was a member of the neo-Nazi skinhead Hammerskin Nation. All of the dead were members of the Sikh faith.",17,,orange,,42.908056,-87.910833,,,,
Boston Marathon bombing (2013),media/250px-1st_Boston_Marathon_blast_seen_from_2nd_floor_and_a_half_block_away.webp,Source: https://en.wikipedia.org/wiki/Boston_Marathon_bombing,,"On April 15, 2013, two homemade bombs detonated 12 seconds and 210 yards apart at 2:49 p.m., near the finish line of the annual Boston Marathon, killing three people and injuring several hundred others, including 16 who lost limbs. Kyrgyz-American brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev were apprehended and claimed to have been motivated by radical Islamist beliefs.",17,,red,,42.35,-71.076,,,,
Cartoon Drawing Contest shooting (2015),media/Palacio_de_Convenciones.jpg,Source: https://en.wikipedia.org/wiki/Curtis_Culwell_Center_attack,,"On May 3, 2015 two gunmen, Elton Simpson and Nadir Soofi, wounded a security guard before police shot and killed them. The two men targeted an event taking place in the Curtis Culwell Conference Center in Garland, Texas.",17,,red,,32.95956,-96.64191,,,,
Charleston church shooting (2015),media/Emanuel_African_Methodist_Episcopal_(AME)_Church_Corrected.jpg,Source: https://en.wikipedia.org/wiki/Charleston_church_shooting,,"On June 17, 2015, Dylann Roof, a 21-year-old white supremacist, went into the Emanuel African Methodist Episcopal Church in Charleston, South Carolina, and shot and killed nine people including South Carolina senator Clementa C. Pinckney. Roof was known to be a white supremacist who admired Apartheid South Africa and Rhodesia and owned a website with a manifesto both called The Last Rhodesian in which he outlined his views toward blacks, among other peoples.",17,,red,,32.7875,-79.933056,,,,
San Bernardino shooting (2015),media/115286-full.jpg,Source: https://en.wikipedia.org/wiki/2015_San_Bernardino_attack,,"On December 2, 2015, 14 people were killed and 24 injured in a mass shooting at the Inland Regional Center in San Bernardino, California, United States. Syed Rizwan Farook and Tashfeen Malik targeted a San Bernardino County Department of Public Health training event and holiday party of about 80 employees in a rented banquet room. Farook was an American-born citizen of Pakistani descent, while his wife was a Pakistani-born legal resident of the U.S. He had attended the event as an employee before the shooting. Both had become radicalized through jihadist material on the internet, and stockpiled supplies in their home.",17,,red,,34.0755,-117.2777,,,,
Orlando nightclub shooting (2016),media/1912_S_Orange_Ave_2.png,Source: https://en.wikipedia.org/wiki/Orlando_nightclub_shooting,,"In the early hours of June 12, 2016, 49 people were killed and 53 were injured in a mass shooting at the Pulse nightclub in Orlando, Florida. The perpetrator, 29-year-old Omar Mateen,was a security guard and person of interest to the FBI in 2013 and 2014. At the time, this event was the deadliest mass shooting in United States history by a single gunman",17,,red,,28.51961,-81.37683,,,,
Congressional baseball shooting (2017),media/baseball-field-oblique-close-420.jpg,Source: https://en.wikipedia.org/wiki/2017_Congressional_baseball_shooting,,"On June 14, 2017, during a practice session for the annual Congressional Baseball Game for Charity in Alexandria, Virginia, James Hodgkinson shot U.S. House Majority Whip Steve Scalise, U.S. Capitol Police officer Crystal Griner, congressional aide Zack Barth, and lobbyist Matt Mika.",17,,red,,38.821667,-77.053333,,,,
Charlottesville car attack (2017),"media/220px-2017_Charlottesville,_Virginia_car_attack_photograph.jpg",Source: https://en.wikipedia.org/wiki/Charlottesville_car_attack,,"During the Charlottesville riots/Unite the Right rally on August 11–12, 2017 in Charlottesville, Virginia, by neo-Nazis, neo-fascists, white nationalists, alt-righters, Southern nationalists and Ku Klux Klansmen, Vanguard America (VA) member James Alex Fields drove his car into counter-protesters, killing 1 named Heather Heyer and injuring 28 others.",17,,red,,38.029492,-78.479525,,,,
Pittsburgh synagogue shooting (2018),media/310px-Tree_of_Life_–_Or_L'Simcha_synagogue_facade.jpg,Source: https://en.wikipedia.org/wiki/Pittsburgh_synagogue_shooting,,"On October 27, 2018, 11 people died and 6 more were injured at the Tree of Life - Or L'Simcha Congregation in Pittsburgh, Pennsylvania by Robert Bowers a user of Gab. The attack was motivated by anti-Semitism and a belief in the white genocide conspiracy theory.",17,,red,,40.443611,-79.921389,,,,
El Paso Walmart shooting (2019),media/220px-Patrick_Crusius_Video_Surveillance_Shooting.png,Source: https://en.wikipedia.org/wiki/2019_El_Paso_shooting,,"On August 3, 2019, a domestic terrorist attack/mass shooting occurred at a Walmart store in El Paso, Texas, killing 23 people and injuring 23 others. The attack was carried out by Patrick Crusius, who wrote a manifesto and posted it on 8chan where he cited a supposed ""Hispanic invasion of Texas"" and ""simply trying to defend my country from ethnic and cultural replacement brought on by an invasion"" as motivations as well as praising the perpetrator of the Christchurch, New Zealand, mosque shootings.",17,,red,,31.7771,-106.3843,,,,
